Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486555.266457421;5638239.04997292
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486554.0163855741;5638224.789953797
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486556.8795430873;5638213.565005042
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486555.0690786806;5638203.561472736
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486556.0262269796;5638196.3586405935
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486549.27058480564;5638250.179560875
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486580.63309536426;5638198.074223756
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486508.6289772709;5638327.033191619
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486503.94642633136;5638378.212376929
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486442.33981444465;5638377.6083572395
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486436.3420971632;5638327.142090687
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486505.74140914186;5638338.2721448075
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486442.7760980795;5638348.7557475595
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486505.493540555;5638354.522245115
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486503.3614655031;5638364.87794967
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486478.03134773794;5638314.009434453
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486464.27998107515;5638361.192444296
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486470.6068963197;5638334.570338754
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486435.2996527523;5638339.91985539
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486495.0783408725;5638322.086551772
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486470.08581446356;5638344.884178966
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486499.7633602964;5638395.612531916
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486465.50929026987;5638379.929494235
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486475.6925738894;5638321.499460747
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486461.6194712645;5638373.44753234
